,Mx_name,Mname,Mx_count,Mx_energy,Mx_M,MxNy_name,MxNy_count,MxNy_energy,MxNy_M,MxNy_N,Nitride Formation Energy,N_energy,V SHE,Dissociation
0,Os2,Os,2,-21.135276121419857,2,OsN2,3,-25.69748416773222,1,2,0.46337987997548663,0.8740762073304342,0.65,False
1,Co2,Co,2,-15.590419384565784,2,Co4N4,8,-61.7762243297411,4,4,0.30557324166099686,0.850624908979869,-0.28,True
2,Hg2,Hg,2,-1.4826475652018938,2,Hg4N12,16,-91.1678240813402,4,12,0.6823365956722567,,0.85,False
3,Tl2,Tl,2,-4.187695548484008,2,Tl4N12,16,-100.78199652272382,4,12,0.41958181599604494,2.9093190826354505,-0.34,False
4,Pt4,Pt,4,-23.20621025194246,4,Pt4N8,12,-81.00910461443873,4,8,0.6897540521082283,1.2786419978291566,1.188,False
5,Rb16,Rb,16,-12.857116471647783,16,Rb4N12,16,-102.68408916564337,4,12,-0.021868472877431877,3.04570779400866,-2.98,False
6,Mg9,Mg,9,-12.936043507948847,9,Mg48N32,80,-381.2549161010037,48,32,-0.5992864013428723,0.011807872545555043,-2.372,True
7,Cs58,Cs,58,-40.74710217665844,58,Cs4N12,16,-102.54256523488303,4,12,-0.038281610968120106,2.664633818654055,-3.026,False
8,Y9,Y,9,-39.52007829390975,9,Y4N4,8,-63.03992813753614,4,4,-1.554434675237621,-1.634930649702353,-2.372,True
9,In9,In,9,-21.814453520436278,9,In2N2,4,-20.43849814758163,2,2,0.23228598431046255,,-0.34,True
10,V2,V,2,-16.055097171875673,2,VN,2,-18.12681636220425,1,1,-0.9196374513960182,-1.5263825470210985,-1.13,True
11,Zr2,Zr,2,-14.032604927869475,2,Zr4N4,8,-73.69671622254117,4,4,-1.5739418591130896,-2.1097683762703507,-1.45,True
12,Al4,Al,4,-13.933686914153075,4,Al2N2,4,-28.21392774423486,2,2,-1.1817746350523928,-0.31303839087516216,-1.662,True
13,Ru2,Ru,2,-17.621314442833317,2,Ru4N4,8,-65.0510583902541,4,4,0.4039427486637548,0.7254570155151345,0.455,True
14,Ti3,Ti,3,-18.92918076286749,3,Ti4N4,8,-70.36378909945746,4,4,-1.5106137402170807,-2.0007708691425687,-1.63,True
15,Ir4,Ir,4,-35.0660559066172,4,Ir8N24,32,-250.04546635398324,8,24,0.5727023257073807,0.9780066638662408,1.0,False
16,Cr2,Cr,2,-17.69357888548213,2,CrN,2,-17.63773852181206,1,1,-0.2654781027983102,-85.48166438333271,-0.74,True
17,Sc2,Sc,2,-8.756262691909942,2,Sc4N4,8,-64.38260054236063,4,4,-1.7287629580804058,-1.6408413062981548,-2.077,False
18,K20,K,20,-22.111162135872707,20,K4N12,16,-103.97404709737276,4,12,-0.02699376178160673,2.87296389895606,-2.931,False
19,Ag9,Ag,9,-21.30891323366594,9,Ag4N12,16,-96.92340378780831,4,12,0.7291961748584832,3.6831042369690454,0.7996,False
20,Au4,Au,4,-10.387077998355615,4,Au2N4,6,-35.42132503995346,2,4,0.4686975755203087,3.5059840104576114,1.52,False
21,Ta2,Ta,2,-18.776078873923094,2,Ta3N3,6,-58.78472061858225,3,3,-0.9734372812124134,-1.6318292618333583,-0.6,True
22,Mo2,Mo,2,-21.392002847959176,2,Mo8N8,16,-155.33706203176266,8,8,-0.23056922825818393,-1.1152398686132567,-0.15,True
23,Ni4,Ni,4,-27.18962631772978,4,Ni6N2,8,-55.61267913646496,6,2,0.21146826088480752,-0.09842065716018844,-0.25,True
24,Mn58,Mn,58,-533.0453600757714,58,Mn4N4,8,-70.3823015621287,4,4,-0.07257263718604268,2.2005155966233207,-1.185,True
25,Ca2,Ca,2,-3.6923938027145544,2,Ca48N32,80,-401.8855084781526,48,32,-0.611853565772791,-1.0413369998958313,-2.868,True
26,Fe2,Fe,2,-17.157609778594082,2,Fe4N4,8,-66.26794419948313,4,4,0.13590585645031794,-0.6662024652727734,-0.44,True
27,W2,W,2,-22.08116988474871,2,W8N12,20,-192.79829692057012,8,12,-0.2676851449941381,-1.0199248579475846,-0.12,True
28,Nb2,Nb,2,-19.662562031258155,2,NbN,2,-20.06515187170313,1,1,-0.9869389912998381,-1.250820359426994,-1.099,True
29,Ba2,Ba,2,-3.1317095040116567,2,Ba4N8,12,-76.66680585933636,4,8,-0.36028698862650305,-0.6503552444081873,-2.912,False
30,Sr9,Sr,9,-13.543162797270819,9,Sr2N4,6,-37.722728770958454,2,4,-0.278860924055684,-0.3577385985541017,-2.899,False
31,Rh4,Rh,4,-26.68549751179748,4,Rh2N4,6,-42.8009764028185,2,4,0.5969573078296241,0.8947025709441778,0.76,False
32,Hf2,Hf,2,-14.245620911328071,2,Hf4N4,8,-73.3666469806036,4,4,-1.4794292080062448,-2.095413846519973,-1.724,True
33,Re2,Re,2,-22.150241364762017,2,Re3N3,6,-56.86159674661655,3,3,0.1906239868249339,-0.21020923298797634,0.3,True
34,Cd2,Cd,2,-1.115352700604959,2,Cd8N48,56,-368.31255411482994,8,48,0.5826520466849995,2.5486153658765156,-0.4,False
35,Ga8,Ga,8,-20.479642755653344,8,Ga2N2,4,-22.693040338058864,2,2,-0.2632859755491941,,-0.53,True
36,B36,B,36,-227.2511174599844,36,B2N2,4,-33.71725620602948,2,2,-1.1430520944926217,,-1.79,True
37,Pd4,Pd,4,-13.020736812306257,4,Pd2N4,6,-37.196914631958585,2,4,0.39223754468200767,1.4508989908025587,0.915,False
